// Frequency response of the 4 channels with full scale loading at 200 MHz. Recording Vrms values
              ChA            ChB           ChC         ChD
   100        5.39          5.39           5.41       5.40
   200        5.35          5.34           5.33       5.34
   400        5.25          5.24           5.27       5.25
   600        5.2           5.23           5.25       5.25
   800        5.2           5.20           5.25       5.16
  1000        5.12          5.13           5.18       5.04
  1200        5.12          5.17           5.19       5.08
  1400        5.12          5.15           5.17       5.08
  1600        4.98          5.03           5.05       4.90
  1800        4.87          4.96           4.99       4.84
  2000        4.95          4.95           4.89       4.87
  2200        4.95          4.95           4.89       4.87
  2400        4.87          4.90           4.85       4.83
  2600        4.91          4.91           4.86       4.83
  2800        4.85          4.87           4.84       4.83
  3000        4.82          4.87           4.85       4.82
  3200        4.72          4.77           4.79       4.78
  3400        4.67          4.69           4.72       4.65
  3600        4.62          4.65           4.64       4.67
  3800        4.54          4.63           4.58       4.70
  4000        4.50          4.60           4.56       4.68
  4200        4.51          4.62           4.58       4.67
  4400        4.61          4.65           4.62       4.69
  4600        4.65          4.64           4.64       4.72
  4800        4.65          4.60           4.60       4.67
  5000        4.63          4.61           4.62       4.64
  5200        4.56          4.48           4.53       4.51
  5400        4.50          4.48           4.45       4.58
  5600        4.39          4.45           4.45       4.55
  5800        4.35          4.45           4.47       4.48
  6000        4.35          4.45           4.43       4.52
  6200        4.31          4.49           4.42       4.55
  6400        4.49          4.47           4.50       4.60
  6600        4.52          4.55           4.43       4.58
  6800        4.43          4.49           4.48       4.53
  7000        4.58          4.40           4.48       4.60
  7200        4.50          4.48           4.43       4.58
  7400        4.27          4.28           4.37       4.28
  7600        4.00          4.05           4.21       4.07
  7800        3.81          3.96           4.03       3.97
  8000        3.43          3.58           3.61       3.77
