200.0000    5.31	200.0000    5.34	200.0000    5.35	200.0000    5.29
400.0000    5.21	400.0000    5.23	400.0000    5.23	400.0000    5.21
600.0000    5.17	600.0000    5.16	600.0000    5.17	600.0000    5.16
800.0000    5.16	800.0000    5.10	800.0000    5.15	800.0000    5.15
1000.0000   5.11	1000.0000   5.03	1000.0000   5.10	1000.0000   5.08
1200.0000   5.10	1200.0000   5.00	1200.0000   5.08	1200.0000   5.07
1400.0000   5.06	1400.0000   4.92	1400.0000   5.02	1400.0000   5.00
1600.0000   4.94	1600.0000   4.81	1600.0000   4.86	1600.0000   4.88
1800.0000   4.89	1800.0000   4.79	1800.0000   4.82	1800.0000   4.85
2000.0000   4.92	2000.0000   4.80	2000.0000   4.82	2000.0000   4.86
2200.0000   4.90	2200.0000   4.79	2200.0000   4.81	2200.0000   4.85
2400.0000   4.85	2400.0000   4.74	2400.0000   4.79	2400.0000   4.81
2600.0000   4.87	2600.0000   4.76	2600.0000   4.80	2600.0000   4.83
2800.0000   4.83	2800.0000   4.73	2800.0000   4.77	2800.0000   4.81
3000.0000   4.77	3000.0000   4.72	3000.0000   4.77	3000.0000   4.80
3200.0000   4.68	3200.0000   4.68	3200.0000   4.72	3200.0000   4.73
3400.0000   4.62	3400.0000   4.62	3400.0000   4.65	3400.0000   4.66
3600.0000   4.54	3600.0000   4.57	3600.0000   4.57	3600.0000   4.65
3800.0000   4.51	3800.0000   4.55	3800.0000   4.48	3800.0000   4.63
4000.0000   4.43	4000.0000   4.49	4000.0000   4.48	4000.0000   4.62
4200.0000   4.47	4200.0000   4.50	4200.0000   4.50	4200.0000   4.61
4400.0000   4.53	4400.0000   4.53	4400.0000   4.53	4400.0000   4.66
4600.0000   4.58	4600.0000   4.52	4600.0000   4.57	4600.0000   4.67
4800.0000   4.57	4800.0000   4.43	4800.0000   4.51	4800.0000   4.64
5000.0000   4.55	5000.0000   4.42	5000.0000   4.52	5000.0000   4.59
5200.0000   4.43	5200.0000   4.29	5200.0000   4.43	5200.0000   4.44
5400.0000   4.37	5400.0000   4.27	5400.0000   4.32	5400.0000   4.48
5600.0000   4.31	5600.0000   4.26	5600.0000   4.32	5600.0000   4.49
5800.0000   4.25	5800.0000   4.21	5800.0000   4.31	5800.0000   4.38
6000.0000   4.24	6000.0000   4.23	6000.0000   4.31	6000.0000   4.40
6200.0000   4.27	6200.0000   4.27	6200.0000   4.32	6200.0000   4.46
6400.0000   4.39	6400.0000   4.32	6400.0000   4.39	6400.0000   4.51
6600.0000   4.38	6600.0000   4.33	6600.0000   4.26	6600.0000   4.50
6800.0000   4.33	6800.0000   4.22	6800.0000   4.34	6800.0000   4.42
7000.0000   4.46	7000.0000   4.15	7000.0000   4.38	7000.0000   4.54
7200.0000   4.38	7200.0000   4.25	7200.0000   4.30	7200.0000   4.51
7400.0000   4.14	7400.0000   4.09	7400.0000   4.16	7400.0000   4.17
7600.0000   3.91	7600.0000   3.96	7600.0000   4.04	7600.0000   4.00
7800.0000   3.66	7800.0000   3.81	7800.0000   3.93	7800.0000   3.92
8000.0000   3.37	8000.0000   3.42	8000.0000   3.51	8000.0000   3.68
8200.0000   3.71	8200.0000   3.70	8200.0000   3.83	8200.0000   3.96
