200.0000   5.31	200.0000   5.46	200.0000   5.34	200.0000   5.34
400.0000   5.23	400.0000   5.29	400.0000   5.23	400.0000   5.24
600.0000   5.19	600.0000   5.22	600.0000   5.15	600.0000   5.17
800.0000   5.17	800.0000   5.22	800.0000   5.14	800.0000   5.14
1000.0000   5.12	1000.0000   5.13	1000.0000   5.05	1000.0000   5.07
1200.0000   5.11	1200.0000   5.11	1200.0000   5.03	1200.0000   5.05
1400.0000   5.08	1400.0000   5.08	1400.0000   4.96	1400.0000   4.98
1600.0000   4.96	1600.0000   4.93	1600.0000   4.84	1600.0000   4.88
1800.0000   4.92	1800.0000   4.89	1800.0000   4.80	1800.0000   4.86
2000.0000   4.95	2000.0000   4.93	2000.0000   4.82	2000.0000   4.87
2200.0000   4.92	2200.0000   4.91	2200.0000   4.80	2200.0000   4.85
2400.0000   4.88	2400.0000   4.85	2400.0000   4.77	2400.0000   4.82
2600.0000   4.89	2600.0000   4.88	2600.0000   4.78	2600.0000   4.84
2800.0000   4.85	2800.0000   4.83	2800.0000   4.76	2800.0000   4.82
3000.0000   4.81	3000.0000   4.80	3000.0000   4.76	3000.0000   4.80
3200.0000   4.68	3200.0000   4.74	3200.0000   4.69	3200.0000   4.75
3400.0000   4.63	3400.0000   4.69	3400.0000   4.62	3400.0000   4.68
3600.0000   4.56	3600.0000   4.65	3600.0000   4.53	3600.0000   4.68
3800.0000   4.50	3800.0000   4.63	3800.0000   4.44	3800.0000   4.65
4000.0000   4.43	4000.0000   4.58	4000.0000   4.43	4000.0000   4.62
4200.0000   4.46	4200.0000   4.60	4200.0000   4.47	4200.0000   4.63
4400.0000   4.55	4400.0000   4.59	4400.0000   4.49	4400.0000   4.67
4600.0000   4.57	4600.0000   4.59	4600.0000   4.53	4600.0000   4.68
4800.0000   4.57	4800.0000   4.53	4800.0000   4.47	4800.0000   4.64
5000.0000   4.48	5000.0000   4.55	5000.0000   4.49	5000.0000   4.60
5200.0000   4.48	5200.0000   4.45	5200.0000   4.40	5200.0000   4.44
5400.0000   4.38	5400.0000   4.40	5400.0000   4.32	5400.0000   4.50
5600.0000   4.32	5600.0000   4.39	5600.0000   4.32	5600.0000   4.47
5800.0000   4.27	5800.0000   4.36	5800.0000   4.33	5800.0000   4.40
6000.0000   4.25	6000.0000   4.38	6000.0000   4.32	6000.0000   4.42
6200.0000   4.29	6200.0000   4.42	6200.0000   4.30	6200.0000   4.47
6400.0000   4.36	6400.0000   4.44	6400.0000   4.38	6400.0000   4.56
6600.0000   4.39	6600.0000   4.45	6600.0000   4.30	6600.0000   4.53
6800.0000   4.36	6800.0000   4.37	6800.0000   4.35	6800.0000   4.43
7000.0000   4.43	7000.0000   4.29	7000.0000   4.36	7000.0000   4.57
7200.0000   4.37	7200.0000   4.36	7200.0000   4.31	7200.0000   4.51
7400.0000   4.17	7400.0000   4.18	7400.0000   4.18	7400.0000   4.16
7600.0000   3.94	7600.0000   4.02	7600.0000   4.03	7600.0000   4.01
7800.0000   3.68	7800.0000   3.90	7800.0000   3.93	7800.0000   3.92
8000.0000   3.39	8000.0000   3.49	8000.0000   3.48	8000.0000   3.69
8200.0000   3.70	8200.0000   3.81	8200.0000   3.81	8200.0000   3.97
8400.0000   3.63	8400.0000   3.92	8400.0000   3.97	8400.0000   4.02
8600.0000   3.80	8600.0000   4.02	8600.0000   4.03	8600.0000   4.10
8800.0000   3.94	8800.0000   4.01	8800.0000   3.85	8800.0000   4.20
9000.0000   4.02	9000.0000   4.06	9000.0000   3.94	9000.0000   4.20
9200.0000   4.05	9200.0000   3.88	9200.0000   4.01	9200.0000   4.12
9400.0000   4.02	9400.0000   3.88	9400.0000   4.00	9400.0000   4.04
9600.0000   3.79	9600.0000   3.87	9600.0000   3.89	9600.0000   3.78
9800.0000   3.59	9800.0000   3.76	9800.0000   3.67	9800.0000   3.75
10000.0000   3.41	10000.0000   3.52	10000.0000   3.64	10000.0000   3.83
10200.0000   3.32	10200.0000   3.46	10200.0000   3.60	10200.0000   3.81
10400.0000   3.28	10400.0000   3.40	10400.0000   3.48	10400.0000   3.80
10600.0000   3.30	10600.0000   3.46	10600.0000   3.57	10600.0000   3.87
10800.0000   3.64	10800.0000   3.69	10800.0000   3.59	10800.0000   4.02
11000.0000   3.76	11000.0000   3.88	11000.0000   3.47	11000.0000   4.06
11200.0000   3.99	11200.0000   4.03	11200.0000   3.19	11200.0000   4.02
11400.0000   4.08	11400.0000   4.10	11400.0000   3.76	11400.0000   3.98
11600.0000   3.95	11600.0000   3.96	11600.0000   4.03	11600.0000   4.10
11800.0000   3.97	11800.0000   3.62	11800.0000   4.04	11800.0000   4.13
12000.0000   3.88	12000.0000   3.87	12000.0000   4.01	12000.0000   4.09
12200.0000   3.72	12200.0000   3.65	12200.0000   3.88	12200.0000   4.05
12400.0000   3.57	12400.0000   3.64	12400.0000   3.67	12400.0000   3.91
12600.0000   3.51	12600.0000   3.55	12600.0000   3.46	12600.0000   3.72
12800.0000   3.55	12800.0000   3.60	12800.0000   3.35	12800.0000   3.75
13000.0000   3.64	13000.0000   3.75	13000.0000   3.32	13000.0000   3.78
13200.0000   3.61	13200.0000   3.90	13200.0000   3.14	13200.0000   3.91
13400.0000   3.79	13400.0000   4.01	13400.0000   3.27	13400.0000   4.05
13600.0000   3.86	13600.0000   4.02	13600.0000   3.79	13600.0000   4.15
13800.0000   3.74	13800.0000   3.74	13800.0000   3.84	13800.0000   4.04
14000.0000   3.65	14000.0000   3.56	14000.0000   3.69	14000.0000   3.70
14200.0000   3.39	14200.0000   3.43	14200.0000   3.44	14200.0000   3.44
14400.0000   3.37	14400.0000   3.45	14400.0000   3.19	14400.0000   2.85
14600.0000   3.15	14600.0000   3.29	14600.0000   2.94	14600.0000   2.50
14800.0000   2.89	14800.0000   3.09	14800.0000   2.61	14800.0000   2.60
15000.0000   2.83	15000.0000   2.96	15000.0000   2.29	15000.0000   2.64
15200.0000   2.72	15200.0000   2.80	15200.0000   2.08	15200.0000   2.70
15400.0000   2.70	15400.0000   2.69	15400.0000   2.33	15400.0000   2.86
15600.0000   2.79	15600.0000   2.59	15600.0000   2.51	15600.0000   3.11
15800.0000   2.70	15800.0000   2.63	15800.0000   2.77	15800.0000   3.26
16000.0000   3.01	16000.0000   2.65	16000.0000   2.95	16000.0000   3.15
