200.0000    5.36	200.0000    5.36	200.0000    5.38	200.0000    5.31
400.0000    5.25	400.0000    5.30	400.0000    5.27	400.0000    5.20
600.0000    5.19	600.0000    5.22	600.0000    5.22	600.0000    5.12
800.0000    5.17	800.0000    5.20	800.0000    5.21	800.0000    5.10
1000.0000   5.11	1000.0000   5.12	1000.0000   5.13	1000.0000   5.01
1200.0000   5.09	1200.0000   5.09	1200.0000   5.12	1200.0000   4.99
1400.0000   5.11	1400.0000   5.12	1400.0000   5.12	1400.0000   5.02
1600.0000   5.02	1600.0000   5.01	1600.0000   4.98	1600.0000   4.89
1800.0000   4.88	1800.0000   4.87	1800.0000   4.84	1800.0000   4.83
2000.0000   4.97	2000.0000   4.90	2000.0000   4.83	2000.0000   4.86
2200.0000   4.93	2200.0000   4.88	2200.0000   4.80	2200.0000   4.84
2400.0000   4.88	2400.0000   4.83	2400.0000   4.77	2400.0000   4.80
2600.0000   4.92	2600.0000   4.86	2600.0000   4.80	2600.0000   4.83
2800.0000   4.87	2800.0000   4.81	2800.0000   4.79	2800.0000   4.82
3000.0000   4.82	3000.0000   4.79	3000.0000   4.79	3000.0000   4.81
3200.0000   4.73	3200.0000   4.75	3200.0000   4.73	3200.0000   4.76
3400.0000   4.67	3400.0000   4.71	3400.0000   4.59	3400.0000   4.68
3600.0000   4.59	3600.0000   4.66	3600.0000   4.52	3600.0000   4.68
3800.0000   4.55	3800.0000   4.62	3800.0000   4.50	3800.0000   4.65
4000.0000   4.54	4000.0000   4.60	4000.0000   4.49	4000.0000   4.63
4200.0000   4.55	4200.0000   4.61	4200.0000   4.49	4200.0000   4.63
4400.0000   4.61	4400.0000   4.62	4400.0000   4.51	4400.0000   4.67
4600.0000   4.64	4600.0000   4.63	4600.0000   4.52	4600.0000   4.68
4800.0000   4.65	4800.0000   4.57	4800.0000   4.50	4800.0000   4.65
5000.0000   4.61	5000.0000   4.57	5000.0000   4.51	5000.0000   4.61
5200.0000   4.54	5200.0000   4.48	5200.0000   4.47	5200.0000   4.49
5400.0000   4.53	5400.0000   4.47	5400.0000   4.43	5400.0000   4.54
5600.0000   4.39	5600.0000   4.46	5600.0000   4.41	5600.0000   4.55
5800.0000   4.33	5800.0000   4.38	5800.0000   4.42	5800.0000   4.44
6000.0000   4.32	6000.0000   4.45	6000.0000   4.42	6000.0000   4.49
6200.0000   4.32	6200.0000   4.47	6200.0000   4.41	6200.0000   4.50
6400.0000   4.46	6400.0000   4.49	6400.0000   4.45	6400.0000   4.56
6600.0000   4.49	6600.0000   4.52	6600.0000   4.41	6600.0000   4.58
6800.0000   4.45	6800.0000   4.39	6800.0000   4.42	6800.0000   4.45
7000.0000   4.54	7000.0000   4.33	7000.0000   4.44	7000.0000   4.58
7200.0000   4.47	7200.0000   4.42	7200.0000   4.42	7200.0000   4.54
7400.0000   4.28	7400.0000   4.22	7400.0000   4.34	7400.0000   4.24
7600.0000   4.01	7600.0000   4.05	7600.0000   4.19	7600.0000   4.04
7800.0000   3.76	7800.0000   3.92	7800.0000   4.01	7800.0000   3.95
8000.0000   3.44	8000.0000   3.58	8000.0000   3.61	8000.0000   3.74
