200.0000   5.41	200.0000   5.44	200.0000   5.31	200.0000   5.26
400.0000   5.22	400.0000   5.34	400.0000   5.20	400.0000   5.17
600.0000   5.21	600.0000   5.26	600.0000   5.15	600.0000   5.08
800.0000   5.24	800.0000   5.20	800.0000   5.18	800.0000   5.08
1000.0000   5.10	1000.0000   5.13	1000.0000   5.07	1000.0000   4.97
1200.0000   5.11	1200.0000   5.08	1200.0000   5.06	1200.0000   4.95
1400.0000   5.06	1400.0000   5.06	1400.0000   5.01	1400.0000   4.93
1600.0000   4.91	1600.0000   4.91	1600.0000   4.85	1600.0000   4.84
1800.0000   4.86	1800.0000   4.86	1800.0000   4.81	1800.0000   4.82
2000.0000   4.94	2000.0000   4.94	2000.0000   4.89	2000.0000   4.99
2200.0000   4.87	2200.0000   4.91	2200.0000   4.86	2200.0000   4.84
2400.0000   4.80	2400.0000   4.88	2400.0000   4.84	2400.0000   4.77
2600.0000   4.84	2600.0000   4.87	2600.0000   4.84	2600.0000   4.82
2800.0000   4.79	2800.0000   4.85	2800.0000   4.81	2800.0000   4.80
3000.0000   4.73	3000.0000   4.70	3000.0000   4.81	3000.0000   4.80
3200.0000   4.79	3200.0000   4.83	3200.0000   4.75	3200.0000   4.68
3400.0000   4.64	3400.0000   4.65	3400.0000   4.67	3400.0000   4.63
3600.0000   4.61	3600.0000   4.63	3600.0000   4.58	3600.0000   4.60
3800.0000   4.52	3800.0000   4.59	3800.0000   4.49	3800.0000   4.61
4000.0000   4.52	4000.0000   4.50	4000.0000   4.61	4000.0000   4.57
4200.0000   4.51	4200.0000   4.55	4200.0000   4.52	4200.0000   4.59
4400.0000   4.54	4400.0000   4.55	4400.0000   4.56	4400.0000   4.64
4600.0000   4.58	4600.0000   4.54	4600.0000   4.57	4600.0000   4.64
4800.0000   4.56	4800.0000   4.52	4800.0000   4.49	4800.0000   4.61
5000.0000   4.57	5000.0000   4.48	5000.0000   4.58	5000.0000   4.59
5200.0000   4.45	5200.0000   4.36	5200.0000   4.43	5200.0000   4.42
5400.0000   4.38	5400.0000   4.36	5400.0000   4.34	5400.0000   4.47
5600.0000   4.33	5600.0000   4.37	5600.0000   4.33	5600.0000   4.51
5800.0000   4.18	5800.0000   4.32	5800.0000   4.33	5800.0000   4.34
6000.0000   4.20	6000.0000   4.32	6000.0000   4.27	6000.0000   4.32
6200.0000   4.25	6200.0000   4.36	6200.0000   4.31	6200.0000   4.42
6400.0000   4.53	6400.0000   4.33	6400.0000   4.22	6400.0000   4.44
6600.0000   4.38	6600.0000   4.40	6600.0000   4.27	6600.0000   4.49
6800.0000   4.35	6800.0000   4.33	6800.0000   4.35	6800.0000   4.39
7000.0000   4.51	7000.0000   4.30	7000.0000   4.40	7000.0000   4.51
7200.0000   4.40	7200.0000   4.36	7200.0000   4.31	7200.0000   4.47
7400.0000   4.11	7400.0000   4.18	7400.0000   4.14	7400.0000   4.10
7600.0000   3.93	7600.0000   3.96	7600.0000   4.04	7600.0000   3.98
7800.0000   3.64	7800.0000   3.85	7800.0000   3.95	7800.0000   3.90
8000.0000   2.50	8000.0000   2.32	8000.0000   0.51	8000.0000   5.21
8200.0000   3.70	8200.0000   3.75	8200.0000   3.83	8200.0000   3.95
8400.0000   3.58	8400.0000   3.88	8400.0000   3.98	8400.0000   4.00
8600.0000   3.82	8600.0000   3.99	8600.0000   4.05	8600.0000   4.07
8800.0000   3.99	8800.0000   3.96	8800.0000   3.91	8800.0000   4.19
9000.0000   3.99	9000.0000   3.98	9000.0000   3.92	9000.0000   4.23
9200.0000   4.05	9200.0000   3.82	9200.0000   4.02	9200.0000   4.10
9400.0000   4.02	9400.0000   3.85	9400.0000   4.01	9400.0000   4.02
9600.0000   3.86	9600.0000   3.76	9600.0000   3.88	9600.0000   3.96
9800.0000   3.49	9800.0000   3.72	9800.0000   3.68	9800.0000   3.72
10000.0000   3.33	10000.0000   3.52	10000.0000   3.75	10000.0000   3.87
10200.0000   3.31	10200.0000   3.44	10200.0000   3.62	10200.0000   3.78
10400.0000   3.28	10400.0000   3.33	10400.0000   3.55	10400.0000   3.80
10600.0000   3.29	10600.0000   3.47	10600.0000   3.59	10600.0000   3.86
10800.0000   3.58	10800.0000   3.66	10800.0000   3.63	10800.0000   4.01
11000.0000   3.79	11000.0000   3.83	11000.0000   3.48	11000.0000   4.00
11200.0000   4.02	11200.0000   3.99	11200.0000   3.18	11200.0000   4.00
11400.0000   4.07	11400.0000   4.05	11400.0000   3.79	11400.0000   3.97
11600.0000   3.99	11600.0000   3.85	11600.0000   4.04	11600.0000   4.09
11800.0000   4.00	11800.0000   3.65	11800.0000   4.06	11800.0000   4.12
12000.0000   4.10	12000.0000   3.92	12000.0000   3.82	12000.0000   3.96
12200.0000   3.71	12200.0000   3.65	12200.0000   3.92	12200.0000   4.04
12400.0000   3.49	12400.0000   3.65	12400.0000   3.69	12400.0000   3.89
12600.0000   3.46	12600.0000   3.57	12600.0000   3.48	12600.0000   3.72
12800.0000   3.50	12800.0000   3.66	12800.0000   3.45	12800.0000   3.95
13000.0000   3.58	13000.0000   3.73	13000.0000   3.32	13000.0000   3.76
13200.0000   3.52	13200.0000   3.81	13200.0000   3.17	13200.0000   3.91
13400.0000   3.80	13400.0000   3.96	13400.0000   3.30	13400.0000   4.03
13600.0000   3.89	13600.0000   4.05	13600.0000   3.82	13600.0000   4.17
13800.0000   3.73	13800.0000   3.79	13800.0000   3.87	13800.0000   4.03
14000.0000   3.60	14000.0000   3.54	14000.0000   3.68	14000.0000   3.71
14200.0000   3.39	14200.0000   3.42	14200.0000   3.45	14200.0000   3.42
14400.0000   3.36	14400.0000   3.47	14400.0000   3.27	14400.0000   2.79
14600.0000   3.12	14600.0000   3.32	14600.0000   2.93	14600.0000   2.48
14800.0000   2.92	14800.0000   3.15	14800.0000   2.60	14800.0000   2.57
15000.0000   2.92	15000.0000   2.96	15000.0000   2.34	15000.0000   2.62
15200.0000   2.80	15200.0000   2.75	15200.0000   2.07	15200.0000   2.70
15400.0000   2.76	15400.0000   2.67	15400.0000   2.35	15400.0000   2.86
15600.0000   2.85	15600.0000   2.59	15600.0000   2.54	15600.0000   3.13
15800.0000   2.79	15800.0000   2.66	15800.0000   2.76	15800.0000   3.29
16000.0000   0.01	16000.0000   0.01	16000.0000   0.08	16000.0000   0.05
