200.0000    5.32	200.0000    5.37	200.0000    5.32	200.0000    5.38
400.0000    5.21	400.0000    5.25	400.0000    5.22	400.0000    5.26
600.0000    5.16	600.0000    5.25	600.0000    5.20	600.0000    5.23
800.0000    5.12	800.0000    5.18	800.0000    5.17	800.0000    5.22
1000.0000   5.07	1000.0000   5.09	1000.0000   5.10	1000.0000   5.13
1200.0000   5.05	1200.0000   5.07	1200.0000   5.08	1200.0000   5.11
1400.0000   4.98	1400.0000   4.97	1400.0000   5.00	1400.0000   5.03
1600.0000   4.83	1600.0000   4.82	1600.0000   4.85	1600.0000   4.90
1800.0000   4.82	1800.0000   4.81	1800.0000   4.82	1800.0000   4.89
2000.0000   4.83	2000.0000   4.80	2000.0000   4.80	2000.0000   4.86
2200.0000   4.82	2200.0000   4.80	2200.0000   4.79	2200.0000   4.86
2400.0000   4.79	2400.0000   4.77	2400.0000   4.76	2400.0000   4.82
2600.0000   4.79	2600.0000   4.77	2600.0000   4.77	2600.0000   4.83
2800.0000   4.76	2800.0000   4.74	2800.0000   4.77	2800.0000   4.83
3000.0000   4.74	3000.0000   4.73	3000.0000   4.76	3000.0000   4.81
3200.0000   4.70	3200.0000   4.69	3200.0000   4.71	3200.0000   4.78
3400.0000   4.64	3400.0000   4.65	3400.0000   4.64	3400.0000   4.70
3600.0000   4.57	3600.0000   4.61	3600.0000   4.55	3600.0000   4.69
3800.0000   4.49	3800.0000   4.57	3800.0000   4.46	3800.0000   4.67
4000.0000   4.50	4000.0000   4.55	4000.0000   4.46	4000.0000   4.66
4200.0000   4.49	4200.0000   4.55	4200.0000   4.48	4200.0000   4.64
4400.0000   4.57	4400.0000   4.56	4400.0000   4.51	4400.0000   4.67
4600.0000   4.57	4600.0000   4.55	4600.0000   4.52	4600.0000   4.67
4800.0000   4.56	4800.0000   4.49	4800.0000   4.48	4800.0000   4.65
5000.0000   4.53	5000.0000   4.48	5000.0000   4.51	5000.0000   4.62
5200.0000   4.43	5200.0000   4.34	5200.0000   4.40	5200.0000   4.46
5400.0000   4.35	5400.0000   4.30	5400.0000   4.32	5400.0000   4.52
5600.0000   4.25	5600.0000   4.27	5600.0000   4.31	5600.0000   4.50
5800.0000   4.18	5800.0000   4.26	5800.0000   4.32	5800.0000   4.42
6000.0000   4.15	6000.0000   4.29	6000.0000   4.33	6000.0000   4.45
6200.0000   4.24	6200.0000   4.37	6200.0000   4.32	6200.0000   4.48
6400.0000   4.39	6400.0000   4.40	6400.0000   4.38	6400.0000   4.57
6600.0000   4.37	6600.0000   4.38	6600.0000   4.30	6600.0000   4.53
6800.0000   4.33	6800.0000   4.27	6800.0000   4.32	6800.0000   4.42
